,contact_time,day,id1,id2
0,0,22,71,81
1,40,22,79,9
2,40,22,4,84
3,40,22,31,37
4,60,22,79,9
5,80,22,79,9
6,80,22,31,37
7,100,22,31,37
8,100,22,79,9
9,120,22,71,81
10,140,22,79,9
11,160,22,79,9
12,200,22,71,81
13,220,22,57,2
14,220,22,71,81
15,240,22,71,81
16,260,22,65,37
17,260,22,71,81
18,280,22,71,81
19,280,22,34,14
20,300,22,71,81
21,320,22,71,81
22,340,22,79,9
23,340,22,71,81
24,360,22,71,81
25,380,22,71,81
26,400,22,78,38
27,420,22,57,2
28,480,22,68,2
29,500,22,68,2
30,520,22,71,81
31,520,22,18,59
32,520,22,68,2
33,540,22,68,2
34,540,22,18,59
35,540,22,43,11
36,560,22,68,2
37,580,22,43,11
38,580,22,59,3
39,580,22,71,81
40,580,22,68,2
41,600,22,71,81
42,600,22,43,11
43,600,22,68,2
44,600,22,59,3
45,620,22,71,81
46,620,22,54,84
47,620,22,43,11
48,620,22,66,23
49,620,22,68,2
50,640,22,66,23
51,640,22,43,11
52,640,22,54,84
53,640,22,71,81
54,660,22,71,81
55,660,22,66,23
56,680,22,66,23
57,680,22,43,11
58,680,22,71,81
59,680,22,18,59
60,700,22,18,59
61,700,22,66,23
62,700,22,71,81
63,720,22,18,59
64,720,22,71,81
65,720,22,68,2
66,740,22,66,23
67,740,22,18,59
68,740,22,71,81
69,740,22,68,2
70,760,22,18,59
71,760,22,66,23
72,760,22,71,81
73,780,22,18,59
74,780,22,71,81
75,780,22,66,23
76,780,22,57,2
77,800,22,18,59
78,800,22,66,23
79,800,22,71,81
80,800,22,27,36
81,800,22,49,45
82,800,22,8,51
83,820,22,27,36
84,820,22,8,51
85,820,22,66,23
86,820,22,27,30
87,820,22,49,45
88,820,22,71,81
89,820,22,18,59
90,820,22,36,30
91,840,22,71,81
92,840,22,12,70
93,840,22,8,51
94,840,22,27,36
95,840,22,49,45
96,840,22,66,23
97,840,22,18,59
98,840,22,27,30
99,860,22,49,45
100,860,22,66,23
101,860,22,27,30
102,860,22,71,81
103,860,22,50,30
104,860,22,18,59
105,860,22,8,51
106,880,22,8,51
107,880,22,27,30
108,880,22,50,30
109,880,22,49,45
110,880,22,18,59
111,900,22,71,81
112,900,22,50,30
113,900,22,18,59
114,900,22,8,51
115,900,22,66,23
116,900,22,27,30
117,900,22,49,45
118,920,22,50,30
119,920,22,18,59
120,920,22,49,45
121,920,22,71,81
122,920,22,27,30
123,920,22,8,51
124,940,22,18,59
125,940,22,34,14
126,940,22,49,45
127,940,22,27,30
128,940,22,8,51
129,960,22,8,51
130,960,22,34,14
